attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,433,Authentication,1778291275.085989000,-7,,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,0,0,STA is Sending association request to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,434,Authentication,1778291275.092816000,-50,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,0,0,Successful Authentication to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,435,Association Request,1778291275.108178000,-4,H7608,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,,,STA is Sending association request to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,437,Association Response,1778291275.116394000,-53,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,0,0,Successful association to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,4569,Authentication,1778291537.564987000,-8,,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,0,0,STA is Sending association request to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,4571,Authentication,1778291537.571807000,-45,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,0,0,Successful Authentication to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,4572,Association Request,1778291537.587172000,-7,H7608,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,,,STA is Sending association request to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,4574,Association Response,1778291537.597629000,-44,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,0,0,Successful association to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,9961,Authentication,1778291811.909503000,-4,,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,0,0,STA is Sending association request to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,9963,Authentication,1778291811.917839000,-49,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,0,0,Successful Authentication to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,9964,Association Request,1778291811.930085000,-5,H7608,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,,,STA is Sending association request to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,9966,Association Response,1778291811.938303000,-49,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,0,0,Successful association to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,10153,Authentication,1778291819.429856000,-7,,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,0,0,STA is Sending association request to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,10155,Authentication,1778291819.437983000,-49,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,0,0,Successful Authentication to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,10157,Association Request,1778291819.451688000,-6,H7608,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,,,STA is Sending association request to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,10159,Association Response,1778291819.459645000,-51,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,0,0,Successful association to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,13493,Authentication,1778291994.480271000,-6,,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,0,0,STA is Sending association request to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,13495,Authentication,1778291994.487661000,-52,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,0,0,Successful Authentication to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,13498,Association Request,1778291994.507216000,-6,H7608,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,78:72:64:ea:b9:14,,,STA is Sending association request to Trusted AP
attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
,13500,Association Response,1778291994.522514000,-46,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,0,0,Successful association to Trusted AP
